ID,City,Location,Area,Bedrooms,Bathrooms,Floor,YearBuilt,Seller,View,Payment,Finishing,Furnished,Parking,Security,SchoolDist,Color,Price
EG-10013,Cairo,6th of October,,3.0,3.0,2.0,2027,Broker,Street,Installments,Unfinished,Furnished,Yes,No,7.96,Brown,4941000.0
EG-10014,Cairo,Al-Haram,160.0,3.0,3.0,2.0,2026,Broker,Other,Installments,Unfinished,Furnished,Yes,Yes,3.69,Brown,4227000.0
EG-10015,Cairo,Al-Haram,157.0,3.0,2.0,3.0,2026,Broker,Street,Installments,Unfinished,Unfurnished,Yes,No,11.42,Off-White,3107000.0
EG-10016,Cairo,Nasr City,127.0,1.0,,0.0,2026,Broker,Street,Installments,Finished,Unfurnished,Yes,Yes,8.51,Brown,6523000.0
EG-10017,Cairo,Ain Shams,130.0,3.0,2.0,0.0,2027,Broker,Street,Installments,Unfinished,Furnished,Yes,Yes,12.85,Off-White,3607000.0
EG-10018,Cairo,New Cairo,151.0,2.0,1.0,3.0,2028,Broker,Pool,Installments,Finished,Furnished,Yes,Yes,13.43,Brown,21410000.0
EG-10019,Cairo,Sheikh Zayed,115.0,1.0,1.0,0.0,2028,Broker,Garden,Installments,Finished,Unfurnished,Yes,Yes,9.77,Off-White,10975000.0
EG-10020,Cairo,Madinaty,260.0,,3.0,,2018,Broker,Street,Cash,Finished,Unfurnished,Yes,No,10.91,Brown,9457000.0
EG-10021,Cairo,Shubra,140.0,3.0,1.0,9.0,2014,Broker,Street,Cash,Finished,Furnished,No,Yes,8.28,Brown,1648000.0
EG-10022,Cairo,Maadi,134.0,3.0,2.0,2.0,2027,Broker,Garden,Installments,Unfinished,Unfurnished,Yes,No,5.83,White,4289000.0
EG-10023,Cairo,New Cairo,317.0,,2.0,3.0,2028,Broker,Pool,Installments,Finished,Furnished,Yes,No,9.76,Brown,37846000.0
EG-10024,Cairo,Madinaty,163.0,2.0,1.0,2.0,2028,Broker,Pool,Installments,Finished,Furnished,Yes,No,13.63,Off-White,22432000.0
EG-10025,Cairo,New Cairo,178.0,3.0,3.0,7.0,2025,Developer,Street,Installments,Unfinished,Unfurnished,Yes,Yes,6.31,White,8589000.0
EG-10026,Cairo,Heliopolis,176.0,3.0,1.0,13.0,2027,Broker,Street,Installments,Finished,Unfurnished,No,No,4.78,Off-White,9122000.0
EG-10027,Cairo,Al-Haram,190.0,3.0,3.0,1.0,2025,Broker,Street,Cash,Unfinished,Unfurnished,Yes,Yes,5.89,Brown,5950000.0
EG-10028,Cairo,New Cairo,200.0,3.0,2.0,2.0,2024,Broker,Garden,Cash,Finished,Unfurnished,Yes,No,6.59,Brown,8442000.0
EG-10029,Cairo,Sheikh Zayed,144.0,2.0,2.0,2.0,2020,Broker,Garden,Installments,Finished,Unfurnished,No,Yes,1.2,Off-White,8234000.0
EG-10030,Cairo,Nasr City,250.0,4.0,2.0,2.0,2026,Developer,Street,Installments,Unfinished,Unfurnished,Yes,No,7.53,Grey,4056000.0
EG-10031,Cairo,6th of October,167.0,3.0,2.0,2.0,2027,Broker,Other,Installments,Unfinished,Furnished,Yes,No,7.47,White,3132000.0
EG-10032,Cairo,Heliopolis,120.0,2.0,2.0,2.0,2025,Broker,Garden,Installments,Finished,Furnished,Yes,No,8.87,White,14854000.0
EG-10033,Cairo,New Cairo,133.0,2.0,1.0,4.0,2025,Broker,Garden,Installments,Finished,Unfurnished,Yes,No,5.51,Brown,11102000.0
EG-10034,Cairo,Al-Haram,220.0,3.0,3.0,3.0,2025,Broker,Street,Cash,Unfinished,Unfurnished,Yes,Yes,9.24,White,4589000.0
EG-10035,Cairo,Sheikh Zayed,240.0,3.0,2.0,2.0,2025,Broker,Street,Cash,Finished,Furnished,No,Yes,13.19,Off-White,7395000.0
EG-10036,Cairo,Heliopolis,89.0,2.0,2.0,3.0,2025,Broker,Garden,Cash,Finished,Unfurnished,Yes,Yes,14.34,Brown,5436000.0
EG-10037,Cairo,New Cairo,240.0,3.0,3.0,3.0,2025,Broker,Garden,Cash,Finished,Furnished,No,Yes,8.8,White,7839000.0
EG-10038,Cairo,Sheikh Zayed,130.0,2.0,3.0,1.0,2030,Broker,Pool,Installments,Finished,Unfurnished,No,Yes,0.73,Beige,12248000.0
EG-10039,Cairo,Al-Haram,122.0,3.0,1.0,2.0,2024,Developer,Other,Installments,Unfinished,Furnished,No,Yes,14.54,White,2498000.0
EG-10040,Cairo,Maadi,128.0,2.0,2.0,3.0,2025,Broker,Street,Cash,Unfinished,Unfurnished,No,No,10.62,Off-White,6188000.0
EG-10041,Cairo,Madinaty,243.0,3.0,4.0,1.0,2026,Broker,Pool,Installments,Finished,Furnished,No,No,5.11,White,18181000.0
EG-10042,Cairo,Sheikh Zayed,127.0,2.0,2.0,3.0,2026,Broker,Garden,Installments,Unfinished,Unfurnished,Yes,Yes,2.29,Grey,9843000.0
EG-10043,Cairo,Heliopolis,127.0,1.0,1.0,0.0,2026,Broker,Pool,Installments,Finished,Furnished,Yes,Yes,2.24,Grey,7084000.0
EG-10044,Cairo,New Cairo,176.0,3.0,1.0,13.0,2027,Broker,Pool,Installments,Finished,Unfurnished,No,Yes,2.6,Brown,9963000.0
EG-10045,Cairo,6th of October,190.0,3.0,3.0,1.0,2025,Broker,Other,Cash,Unfinished,Unfurnished,No,Yes,0.78,Grey,5293000.0
EG-10046,Cairo,Heliopolis,,1.0,1.0,0.0,2026,Broker,Garden,Installments,Finished,Furnished,Yes,No,13.54,Off-White,5846000.0
EG-10047,Cairo,Sheikh Zayed,144.0,2.0,2.0,2.0,2020,Broker,Garden,Installments,Finished,Furnished,Yes,Yes,8.16,Beige,9003000.0
EG-10048,Cairo,6th of October,250.0,4.0,2.0,2.0,2026,Developer,Street,Installments,Unfinished,Furnished,No,No,10.53,Beige,4177000.0
EG-10049,Cairo,Nasr City,167.0,3.0,2.0,2.0,2027,Broker,Street,Installments,Unfinished,Unfurnished,Yes,Yes,12.44,Brown,3318000.0
EG-10050,Cairo,6th of October,110.0,1.0,1.0,,2026,Broker,Other,Installments,Finished,Unfurnished,No,No,11.89,Brown,5241000.0
EG-10051,Cairo,New Cairo,120.0,2.0,2.0,2.0,2025,Broker,Garden,Installments,Finished,Furnished,Yes,No,13.25,Grey,14854000.0
EG-10052,Cairo,Madinaty,240.0,3.0,2.0,2.0,2025,Broker,Pool,Cash,Finished,Unfurnished,No,No,14.51,Off-White,7169000.0
EG-10053,Cairo,Heliopolis,78.0,1.0,1.0,0.0,2026,Broker,Garden,Installments,Finished,Unfurnished,Yes,Yes,6.64,Grey,4963000.0
EG-10054,Cairo,Shubra,47.0,1.0,1.0,1.0,2027,Broker,Street,Cash,Finished,Furnished,Yes,Yes,14.26,Off-White,2521000.0
EG-10055,Cairo,Al-Haram,85.0,2.0,1.0,0.0,2025,Broker,Street,Installments,Finished,Unfurnished,Yes,Yes,10.88,Off-White,5102000.0
EG-10056,Cairo,New Cairo,240.0,3.0,3.0,3.0,2025,Broker,Garden,Cash,Finished,Unfurnished,Yes,No,1.15,Beige,7386000.0
EG-10057,Cairo,Sheikh Zayed,130.0,2.0,3.0,1.0,2030,Broker,Garden,Installments,Finished,Unfurnished,Yes,Yes,10.26,Off-White,12619000.0
EG-10058,Cairo,Al-Haram,104.0,1.0,1.0,2.0,2026,Broker,Street,Installments,Finished,Furnished,No,No,10.33,White,5655000.0
EG-10059,Cairo,New Cairo,243.0,3.0,4.0,1.0,2026,Broker,Pool,Installments,Finished,Furnished,Yes,No,13.6,Off-White,18732000.0
EG-10060,Cairo,Madinaty,127.0,2.0,2.0,3.0,2026,Broker,Garden,Installments,Unfinished,Furnished,Yes,Yes,5.66,Beige,10446000.0
EG-10061,Cairo,Heliopolis,,3.0,,2.0,2025,Broker,Street,Cash,Unfinished,Unfurnished,Yes,No,8.82,Grey,3973000.0
EG-10062,Cairo,New Cairo,235.0,4.0,3.0,9.0,2023,Broker,Pool,Installments,Finished,Unfurnished,No,Yes,0.28,Off-White,11610000.0
EG-10063,Cairo,Nasr City,175.0,3.0,2.0,4.0,2000,Broker,Other,Cash,Finished,Furnished,Yes,Yes,5.05,White,4090000.0
EG-10064,Cairo,Sheikh Zayed,197.0,4.0,4.0,2.0,2025,Broker,Garden,Installments,Unfinished,Furnished,No,No,1.03,Brown,13638000.0
EG-10065,Cairo,Sheikh Zayed,345.0,3.0,4.0,12.0,2013,Broker,Garden,Cash,Finished,Furnished,No,No,7.88,Grey,15216000.0
EG-10066,Cairo,Shubra,150.0,3.0,2.0,3.0,2019,Private Owner,Street,Cash,Unfinished,Unfurnished,No,No,12.28,Brown,2511000.0
EG-10067,Cairo,Nasr City,230.0,4.0,2.0,1.0,2026,Developer,Street,Installments,Unfinished,Furnished,Yes,No,3.18,White,4151000.0
EG-10068,Cairo,Nasr City,140.0,2.0,2.0,10.0,1999,Broker,Street,Cash,Finished,Unfurnished,No,No,7.96,Beige,3285000.0
EG-10069,Cairo,Heliopolis,230.0,3.0,3.0,1.0,2026,Private Owner,Street,Installments,Unfinished,Unfurnished,Yes,Yes,3.14,Beige,5339000.0
EG-10070,Cairo,Al-Haram,62.0,1.0,1.0,1.0,2025,Broker,Street,Cash,Unfinished,Unfurnished,No,No,1.9,Grey,2560000.0
EG-10071,Cairo,Sheikh Zayed,164.0,2.0,3.0,4.0,2027,Cash or Installments,Garden,Installments,Finished,Unfurnished,Yes,Yes,7.71,Off-White,28631000.0
EG-10072,Cairo,Shubra,120.0,3.0,1.0,8.0,2000,Private Owner,Street,Cash,Finished,Furnished,No,Yes,1.28,Off-White,3275000.0
EG-10073,Cairo,Maadi,119.0,2.0,2.0,1.0,2029,Broker,Lake,Installments,Unfinished,Unfurnished,Yes,Yes,8.85,Brown,7651000.0
EG-10074,Cairo,Heliopolis,237.0,4.0,3.0,2.0,2025,Developer,Pool,Installments,Unfinished,Unfurnished,Yes,Yes,0.57,Beige,7235000.0
EG-10075,Cairo,Ain Shams,100.0,,1.0,,2019,Developer,Street,Cash,Unfinished,Unfurnished,Yes,Yes,1.69,Off-White,1618000.0
EG-10076,Cairo,6th of October,51.0,1.0,1.0,1.0,2029,Developer,Other,Installments,Unfinished,Furnished,Yes,Yes,8.29,Off-White,2393000.0
EG-10077,Cairo,Maadi,108.0,2.0,1.0,3.0,2024,Developer,Pool,Installments,Unfinished,Furnished,No,Yes,8.91,Beige,7431000.0
EG-10078,Cairo,6th of October,140.0,2.0,1.0,5.0,1999,Private Owner,Street,Cash,Finished,Unfurnished,No,Yes,0.53,Beige,1195000.0
EG-10079,Cairo,Nasr City,155.0,3.0,3.0,1.0,2025,Broker,Street,Installments,Unfinished,Unfurnished,No,Yes,8.64,White,4506000.0
EG-10080,Cairo,Maadi,235.0,3.0,3.0,2.0,2025,Private Owner,Pool,Installments,Unfinished,Unfurnished,Yes,No,12.59,Brown,6926000.0
EG-10081,Cairo,New Cairo,173.0,3.0,3.0,1.0,2025,Broker,Pool,Cash,Unfinished,Unfurnished,Yes,Yes,10.86,Beige,15109000.0
EG-10082,Cairo,Al-Haram,90.0,2.0,1.0,2.0,2026,Broker,Street,Cash,Unfinished,Unfurnished,Yes,Yes,2.05,White,3904000.0
EG-10083,Cairo,Maadi,135.0,2.0,2.0,2.0,2025,Broker,Pool,Cash,Finished,Furnished,Yes,Yes,8.93,Beige,13268000.0
EG-10084,Cairo,Maadi,152.0,3.0,2.0,1.0,2028,Compound Developer,Lake,Installments,Unfinished,Unfurnished,No,Yes,10.12,Grey,4763000.0
EG-10085,Cairo,Ain Shams,120.0,3.0,1.0,7.0,1997,Private Owner,Other,Cash,Finished,Unfurnished,Yes,No,0.65,Grey,1505000.0
EG-10086,Cairo,Maadi,185.0,3.0,4.0,4.0,2025,Developer,Lake,Installments,Unfinished,Unfurnished,No,No,12.84,Grey,3896000.0
EG-10087,Cairo,Sheikh Zayed,133.0,2.0,2.0,,2018,Private Owner,Pool,Cash,Finished,Unfurnished,No,No,13.6,Beige,10703000.0
EG-10088,Cairo,Maadi,161.0,3.0,3.0,2.0,2025,Broker,Street,Cash,Finished,Unfurnished,No,Yes,12.77,Off-White,10452000.0
EG-10089,Cairo,Nasr City,138.0,3.0,2.0,2.0,2027,Broker,Street,Installments,Unfinished,Furnished,No,Yes,12.39,Off-White,4256000.0
EG-10090,Cairo,Ain Shams,80.0,2.0,1.0,3.0,2000,Private Owner,Street,Cash,Finished,Unfurnished,Yes,Yes,11.2,Grey,2256000.0
EG-10091,Cairo,Shubra,144.0,3.0,1.0,9.0,2015,Broker,Street,Installments,Finished,Furnished,Yes,No,9.54,Brown,1587000.0
EG-10092,Cairo,Maadi,87.0,2.0,2.0,1.0,2025,Developer,Pool,Installments,Unfinished,Unfurnished,No,No,10.21,White,6009000.0
EG-10093,Cairo,Ain Shams,160.0,3.0,3.0,3.0,2012,Broker,Other,Installments,Unfinished,Unfurnished,No,No,12.12,Grey,2942000.0
EG-10094,Cairo,Al-Haram,130.0,3.0,1.0,4.0,2025,Broker,Street,Cash,Finished,Furnished,Yes,Yes,9.97,White,3810000.0
EG-10095,Cairo,Shubra,123.0,3.0,3.0,3.0,2027,Broker,Street,Installments,Unfinished,Unfurnished,Yes,Yes,4.98,White,2855000.0
EG-10096,Cairo,Al-Haram,196.0,3.0,3.0,1.0,2024,Broker,Other,Installments,Finished,Furnished,No,Yes,5.7,Grey,5525000.0
EG-10097,Cairo,Maadi,145.0,3.0,3.0,2.0,2029,Broker,Garden,Installments,Unfinished,Unfurnished,Yes,No,13.47,Off-White,4066000.0
EG-10098,Cairo,Nasr City,138.0,3.0,2.0,2.0,2027,Broker,Street,Installments,Unfinished,Furnished,No,Yes,0.36,Brown,4256000.0
EG-10099,Cairo,Heliopolis,180.0,3.0,3.0,3.0,2025,Broker,Pool,Cash,Finished,Unfurnished,Yes,Yes,10.51,Grey,6197000.0
EG-10100,Cairo,Ain Shams,144.0,3.0,1.0,9.0,2015,Broker,Street,Installments,Finished,Unfurnished,No,No,14.33,White,1451000.0
EG-10101,Cairo,Ain Shams,161.0,3.0,2.0,1.0,2025,Broker,Street,Installments,Unfinished,Unfurnished,No,No,10.62,Beige,2948000.0
EG-10102,Cairo,Al-Haram,173.0,3.0,2.0,3.0,2025,Broker,Street,Installments,Unfinished,Unfurnished,No,Yes,14.91,Beige,4443000.0
EG-10103,Cairo,Al-Haram,90.0,2.0,1.0,2.0,2026,Broker,Street,Cash,Unfinished,Unfurnished,Yes,Yes,10.34,White,3904000.0
EG-10104,Cairo,New Cairo,135.0,2.0,2.0,2.0,2025,Broker,Street,Cash,Finished,Unfurnished,No,No,0.61,Grey,11111000.0
EG-10105,Cairo,Sheikh Zayed,260.0,4.0,3.0,0.0,2018,Private Owner,Pool,Cash,Unfinished,Unfurnished,No,Yes,12.42,Off-White,7248000.0
EG-10106,Cairo,Al-Haram,93.0,1.0,1.0,0.0,2026,Broker,Street,Installments,Finished,Unfurnished,No,No,4.34,Grey,5274000.0
EG-10107,Cairo,Sheikh Zayed,230.0,4.0,4.0,1.0,2024,Broker,Garden,Cash,Unfinished,Unfurnished,Yes,Yes,6.75,Brown,8073000.0
EG-10108,Cairo,Al-Haram,95.0,3.0,1.0,7.0,2015,Private Owner,Street,Cash,Finished,Furnished,Yes,No,4.75,Beige,2208000.0
EG-10109,Cairo,Shubra,142.0,3.0,3.0,0.0,2027,Broker,Street,Installments,Unfinished,Unfurnished,Yes,No,4.1,White,3245000.0
EG-10110,Cairo,6th of October,120.0,3.0,1.0,7.0,1997,Private Owner,Other,Cash,Finished,Furnished,Yes,No,6.53,Off-White,1598000.0
EG-10111,Cairo,Al-Haram,200.0,3.0,1.0,5.0,2000,Broker,Street,Cash,Finished,Unfurnished,No,Yes,5.74,Grey,4480000.0
EG-10112,Cairo,Sheikh Zayed,133.0,2.0,2.0,2.0,2018,Private Owner,Street,Cash,Finished,Furnished,Yes,Yes,9.54,Brown,11374000.0
EG-10113,Cairo,Sheikh Zayed,161.0,3.0,3.0,2.0,2025,Broker,Pool,Cash,Finished,Unfurnished,No,Yes,12.22,Grey,11080000.0
EG-10114,Cairo,Al-Haram,80.0,2.0,,3.0,2000,Private Owner,Street,Cash,Finished,Unfurnished,Yes,No,4.53,Brown,2190000.0
EG-10115,Cairo,Heliopolis,133.0,1.0,1.0,0.0,2026,Broker,Pool,Installments,Finished,Unfurnished,Yes,Yes,3.28,Grey,7032000.0
EG-10116,Cairo,Sheikh Zayed,200.0,3.0,3.0,3.0,2000,Private Owner,Street,Cash,Finished,Unfurnished,No,Yes,10.04,Off-White,12941000.0
EG-10117,Cairo,Maadi,107.0,3.0,2.0,2.0,2024,Broker,Street,Cash,Finished,Unfurnished,No,Yes,10.09,Off-White,5475000.0
EG-10118,Cairo,New Cairo,210.0,3.0,2.0,2.0,2025,Broker,Garden,Cash,Unfinished,Unfurnished,No,No,13.53,White,7130000.0
EG-10119,Cairo,Sheikh Zayed,132.0,3.0,2.0,3.0,2025,Broker,Pool,Cash,Finished,Unfurnished,No,No,0.34,Off-White,7681000.0
EG-10120,Cairo,Nasr City,170.0,3.0,3.0,2.0,2026,Broker,Street,Installments,Unfinished,Furnished,No,No,12.81,Brown,4177000.0
EG-10121,Cairo,Nasr City,78.0,1.0,1.0,2.0,2025,Broker,Street,Installments,Finished,Unfurnished,No,Yes,7.86,White,4852000.0
EG-10122,Cairo,Sheikh Zayed,144.0,3.0,2.0,2.0,2025,Broker,Garden,Cash,Finished,Unfurnished,No,No,9.36,Off-White,10242000.0
EG-10123,Cairo,Maadi,160.0,2.0,2.0,10.0,2016,Developer,Street,Cash,Finished,Furnished,No,Yes,1.46,Beige,18650000.0
EG-10124,Cairo,Nasr City,130.0,3.0,1.0,8.0,2025,Cash or Installments,Other,Installments,Finished,Furnished,Yes,No,6.55,Brown,4481000.0
EG-10125,Cairo,Heliopolis,205.0,3.0,3.0,1.0,2025,Broker,Garden,Installments,Finished,Furnished,No,Yes,3.49,White,9502000.0
EG-10126,Cairo,Nasr City,160.0,3.0,3.0,3.0,2027,Broker,Other,Installments,Unfinished,Furnished,No,Yes,3.89,Brown,3542000.0
EG-10127,Cairo,New Cairo,200.0,3.0,2.0,2.0,2025,Broker,Garden,Cash,Finished,Unfurnished,Yes,Yes,7.61,White,11959000.0
EG-10128,Cairo,Maadi,160.0,3.0,2.0,2.0,2025,Broker,Lake,Installments,Unfinished,Unfurnished,Yes,Yes,12.21,Brown,4876000.0
EG-10129,Cairo,Nasr City,170.0,3.0,3.0,2.0,2026,Broker,Street,Installments,Unfinished,Unfurnished,No,Yes,11.18,Beige,4777000.0
EG-10130,Cairo,Al-Haram,230.0,3.0,3.0,3.0,2026,Broker,Street,Installments,Unfinished,Unfurnished,Yes,Yes,8.91,Off-White,3714000.0
EG-10131,Cairo,Maadi,160.0,3.0,3.0,10.0,2026,Broker,Street,Cash,Unfinished,Unfurnished,No,Yes,8.14,Grey,6875000.0
EG-10132,Cairo,Sheikh Zayed,170.0,3.0,3.0,9.0,2026,Broker,Garden,Cash,Unfinished,Unfurnished,Yes,Yes,6.47,Grey,7977000.0
EG-10133,Cairo,Shubra,136.0,3.0,2.0,3.0,2027,Broker,Street,Installments,Unfinished,Furnished,Yes,Yes,14.59,Grey,3414000.0
EG-10134,Cairo,Maadi,,3.0,1.0,,2027,Broker,Lake,Installments,Finished,Unfurnished,Yes,No,8.45,White,6753000.0
EG-10135,Cairo,Nasr City,128.0,2.0,,1.0,2027,Broker,Street,Installments,Finished,Unfurnished,Yes,No,3.88,Off-White,5049000.0
EG-10136,Cairo,Al-Haram,85.0,2.0,1.0,2.0,2025,Broker,Street,Installments,Unfinished,Furnished,No,No,3.53,White,2489000.0
EG-10137,Cairo,Sheikh Zayed,245.0,,3.0,3.0,2025,Broker,Pool,Cash,Finished,Furnished,No,No,9.21,White,13586000.0
EG-10138,Cairo,6th of October,135.0,3.0,2.0,9.0,2026,Broker,Street,Cash,Unfinished,Unfurnished,Yes,No,7.89,White,5801000.0
EG-10139,Cairo,Heliopolis,150.0,3.0,2.0,3.0,2025,Broker,Street,Installments,Finished,Unfurnished,Yes,No,0.21,White,5146000.0
EG-10140,Cairo,Shubra,110.0,2.0,2.0,3.0,2028,Broker,Other,Installments,Unfinished,Unfurnished,Yes,No,12.47,Off-White,2917000.0
EG-10141,Cairo,Maadi,200.0,3.0,2.0,4.0,2020,Broker,Lake,Cash,Unfinished,Unfurnished,No,Yes,10.59,Grey,8898000.0
EG-10142,Cairo,Maadi,161.0,3.0,1.0,13.0,2027,Broker,Street,Installments,Finished,Unfurnished,Yes,Yes,9.96,Brown,6002000.0
EG-10143,Cairo,Nasr City,260.0,4.0,3.0,2.0,2022,Broker,Street,Cash,Unfinished,Furnished,Yes,Yes,1.12,White,5809000.0
EG-10144,Cairo,Shubra,37.0,1.0,1.0,1.0,2027,Broker,Street,Installments,Finished,Furnished,Yes,No,5.49,Off-White,1906000.0
EG-10145,Cairo,Madinaty,152.0,3.0,2.0,,2026,Broker,Garden,Cash,Unfinished,Unfurnished,No,No,14.04,Beige,6719000.0
EG-10146,Cairo,Maadi,200.0,3.0,3.0,1.0,2025,Broker,Lake,Installments,Unfinished,Unfurnished,Yes,Yes,12.95,Brown,6061000.0
EG-10147,Cairo,Ain Shams,52.0,,1.0,2.0,2027,Broker,Street,Installments,Finished,Unfurnished,Yes,Yes,4.35,White,2861000.0
EG-10148,Cairo,Ain Shams,170.0,3.0,3.0,1.0,2000,Broker,Other,Cash,Finished,Furnished,No,Yes,2.44,White,3486000.0
EG-10149,Cairo,Shubra,69.0,1.0,,1.0,2027,Broker,Street,Installments,Unfinished,Furnished,No,No,6.79,Brown,3620000.0
EG-10150,Cairo,Al-Haram,165.0,3.0,2.0,1.0,2026,Developer,Street,Installments,Unfinished,Furnished,No,Yes,5.4,Brown,2678000.0
EG-10151,Cairo,6th of October,119.0,3.0,1.0,7.0,2027,Developer,Street,Installments,Unfinished,Unfurnished,Yes,Yes,10.27,White,2210000.0
EG-10152,Cairo,Sheikh Zayed,126.0,2.0,2.0,2.0,2029,Broker,Pool,Installments,Unfinished,Unfurnished,Yes,Yes,14.5,Off-White,7294000.0
EG-10153,Cairo,Shubra,165.0,3.0,2.0,5.0,2013,Developer,Street,Installments,Finished,Furnished,No,No,5.51,Beige,2475000.0
EG-10154,Cairo,Al-Haram,142.0,3.0,2.0,2.0,2025,Developer,Street,Cash,Unfinished,Furnished,Yes,No,1.03,Off-White,2942000.0
EG-10155,Cairo,Madinaty,,4.0,4.0,1.0,2025,Broker,Garden,Installments,Unfinished,Furnished,Yes,No,13.47,Grey,9665000.0
EG-10156,Cairo,Shubra,165.0,3.0,2.0,1.0,2026,Developer,Street,Installments,Unfinished,Unfurnished,Yes,Yes,0.67,Grey,2600000.0
EG-10157,Cairo,Heliopolis,133.0,3.0,2.0,1.0,2027,Broker,Pool,Installments,Unfinished,Unfurnished,No,Yes,14.3,Grey,4447000.0
EG-10158,Cairo,Shubra,120.0,3.0,2.0,2.0,2028,Broker,Other,Installments,Unfinished,Furnished,No,Yes,10.0,White,2735000.0
EG-10159,Cairo,New Cairo,165.0,3.0,3.0,5.0,2027,Developer,Garden,Installments,Unfinished,Furnished,No,Yes,14.13,Beige,9023000.0
EG-10160,Cairo,Shubra,144.0,3.0,3.0,2.0,2029,Broker,Street,Installments,Unfinished,Unfurnished,Yes,No,3.07,Beige,2855000.0
EG-10161,Cairo,Nasr City,142.0,3.0,2.0,2.0,2025,Developer,Street,Installments,Unfinished,Unfurnished,No,Yes,0.71,White,2704000.0
EG-10162,Cairo,Al-Haram,155.0,3.0,3.0,3.0,2025,Broker,Other,Installments,Unfinished,Unfurnished,Yes,No,7.37,White,1033000.0
EG-10163,Cairo,6th of October,185.0,3.0,2.0,7.0,2005,Broker,Street,Cash,Finished,Unfurnished,Yes,Yes,6.81,White,3031000.0
EG-10164,Cairo,Maadi,188.0,3.0,2.0,10.0,2013,Broker,Garden,Cash,Finished,Unfurnished,No,No,5.04,Beige,5940000.0
EG-10165,Cairo,Heliopolis,183.0,3.0,3.0,1.0,2028,Broker,Street,Installments,Unfinished,Furnished,Yes,Yes,14.37,White,8392000.0
EG-10166,Cairo,Nasr City,225.0,4.0,3.0,3.0,2025,Broker,Street,Cash,Finished,Unfurnished,Yes,Yes,12.36,Brown,6974000.0
EG-10167,Cairo,Sheikh Zayed,162.0,2.0,3.0,3.0,2015,Broker,Garden,Cash,Unfinished,Furnished,No,No,9.96,Brown,12106000.0
EG-10168,Cairo,Maadi,165.0,3.0,3.0,1.0,2025,Broker,Lake,Installments,Unfinished,Unfurnished,Yes,No,2.53,Brown,5593000.0
EG-10169,Cairo,Sheikh Zayed,143.0,2.0,2.0,0.0,2026,Broker,Garden,Installments,Unfinished,Unfurnished,No,Yes,11.04,White,13566000.0
EG-10170,Cairo,Al-Haram,171.0,3.0,3.0,1.0,2025,Broker,Street,Cash,Unfinished,Unfurnished,No,No,10.93,Brown,4484000.0
EG-10171,Cairo,Heliopolis,350.0,3.0,3.0,3.0,2025,Broker,Pool,Cash,Finished,Unfurnished,No,Yes,6.43,White,11080000.0
EG-10172,Cairo,New Cairo,126.0,2.0,2.0,1.0,2025,Broker,Garden,Installments,Unfinished,Unfurnished,No,Yes,13.88,Brown,8560000.0
EG-10173,Cairo,Heliopolis,175.0,3.0,3.0,1.0,2025,Broker,Pool,Cash,Finished,Unfurnished,No,No,2.59,White,6657000.0
EG-10174,Cairo,Shubra,120.0,3.0,2.0,3.0,2025,Broker,Street,Cash,Unfinished,Furnished,Yes,Yes,4.08,Off-White,3435000.0
EG-10175,Cairo,Maadi,250.0,3.0,,3.0,2025,Broker,Garden,Cash,Unfinished,Unfurnished,Yes,Yes,1.04,Grey,6004000.0
